Pres,t
101199.0,1
101197.0,2
101199.0,3
101204.0,4
101209.0,5
101198.0,6
101210.0,7
101204.0,8
101204.0,9
101202.0,10
101201.0,11
101199.0,12
101199.0,13
101205.0,14
101209.0,15
101212.0,16
101205.0,17
101204.0,18
101206.0,19
101204.0,20
101201.0,21
101201.0,22
101205.0,23
